,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_bev,vehicle_split_ffv,vehicle_split_sidi,county,state
146,Hill_TX,35904823182.0,8873741.97546,156383503.97,6773729.65255,22536.9999759,0.0,0.0,100.0,Hill,TX
147,Hockley_TX,335335169000.0,25204444.6,550912893.0,18793118.5,82086.0,14.7,0.0,85.3,Hockley,TX
148,Hood_TX,97313524000.0,7730115.7,171952119.0,5670621.8,26001.000200000002,24.0,0.0,76.0,Hood,TX
149,Hopkins_TX,71798928470.0,5653390.169,82490420.7,4307373.528,11791.999549999999,3.1,0.0,96.9,Hopkins,TX
150,Houston_MN,4395163900.0,1327565.7,19046111.0,1013408.9,2707.0,0.0,0.0,100.0,Houston_MN,MN
151,Houston_TX,291744672500.0,23595841.0,355319474.0,18171949.2,50680.000400000004,0.0,9.7,90.3,Houston_TX,TX
152,Howard_TX,231786434400.0,18031764.45,286382594.2,13656773.61,41920.000100000005,15.0,2.5,82.4,Howard,TX
153,Hubbard_MN,26730722000.0,2110535.5,44930899.0,1611095.8,6542.0,0.0,0.0,100.0,Hubbard,MN
154,Hudspeth_TX,158513477000.0,12555447.922,197073473.86,9488244.293,28828.999806,15.2,0.3,84.6,Hudspeth,TX
155,Humboldt_CA,234742816000.0,37634438.3,657846519.0,28711305.9,97583.0,19.8,13.3,66.9,Humboldt,CA
156,Hunt_TX,17251356000.0,1364008.6,29038190.0,1041227.9,4228.0,0.0,0.0,100.0,Hunt,TX
157,Hutchinson_TX,96548492000.0,7623027.2,162285570.0,5819104.7,23629.0,0.0,0.0,100.0,Hutchinson,TX
158,Imperial_CA,950650460000.0,80140422.0,2007463690.0,62280644.9,311970.999,38.4,37.7,23.9,Imperial,CA
159,Inyo_CA,5976711600000.0,268218900.0,9795199300.0,197041890.0,1615123.02,67.6,32.4,0.0,Inyo,CA
160,Irion_TX,35342001001.2,8210691.58394,132902740.0653,6178283.55948,19629.00027312,20.2,0.0,79.8,Irion,TX
161,Isanti_MN,1732412200.0,523277.65,7507277.7,399448.59,1067.0,0.0,0.0,100.0,Isanti,MN
162,Itasca_MN,95508123800.0,7544979.03,161271877.5,5739333.468,23566.00026,2.3,0.0,97.7,Itasca,MN
